# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME SIMTIME CORRTIME 
1.25 3600000.0 -0.00189866728167 0.1273 -0.00296449656861 5 74.3861 0.99744 2.33421848649e-05 0.8 0.000303692903808 0.000242377681231 2.27405389994e-05 0.000220141410662 2.52255789994e-06 125 330550 50 10000 411600.00261 0.000129630685762 -4.94501789119e-08 -9.89003578113e-08 37.19305 -0.00296454601879 1.19703545398 0.1273 ./data/phasediag2/test0136.out 19.0 11987.4073292 
1.11111 3600000.0 -0.00181813870972 0.1283 -0.00343789780194 5 74.3861 0.996994 2.9356070278e-05 0.900000900001 0.000303692903808 0.000272771700892 2.16504863056e-05 0.000240485527472 2.00299027368e-06 125 221950 50 10000 411600.00261 0.000143659218113 -4.94501789119e-08 -9.89003578113e-08 37.19305 -0.00343794725212 1.34656340275 0.1283 ./data/phasediag2/test0137.out 19.0 11872.0809296 
1.0 3600000.0 -0.00150223736944 0.1293 -0.00269351064139 5 74.3861 0.9977 2.08413086961e-05 1.0 0.000303692903808 0.000303236654944 1.35863091209e-05 0.000218121334992 1.61566011161e-06 125 219800 50 10000 411600.00261 0.000123546848773 -4.94501789119e-08 -9.89003578113e-08 37.19305 -0.00269356009157 1.49730643991 0.1293 ./data/phasediag2/test0138.out 20.0 12606.580557 
0.909091 3600000.0 -0.00183947674917 0.1303 -0.00315082124722 5 74.3861 0.997474 2.50595266486e-05 1.09999989 0.000303692903808 0.000333503494712 1.25056654075e-05 0.000249897463261 1.44988921098e-06 125 289600 50 10000 411600.00261 0.000150893505472 -4.94501789119e-08 -9.89003578113e-08 37.19305 -0.0031508706974 1.6468489643 0.1303 ./data/phasediag2/test0139.out 20.0 14857.1020907 
0.833333 3600000.0 -0.00133043719258 0.1313 -0.00284259365472 5 74.3861 0.997746 2.10721420409e-05 1.20000048 0.000303692903808 0.000364027555973 9.02207844556e-06 0.000172188203879 6.48330736234e-07 125 419250 50 10000 411600.00261 0.000148653925447 -4.94501789119e-08 -9.89003578113e-08 37.19305 -0.0028426431049 1.7971580769 0.1313 ./data/phasediag2/test0140.out 20.0 8215.61074172 
0.769231 3600000.0 -0.00102755875639 0.1323 -0.00204024978917 5 74.3861 0.998524 1.38483754521e-05 1.29999961 0.000303692903808 0.000394488564172 5.73122015462e-06 0.000170894983502 6.19929106483e-07 125 358600 50 10000 411600.00261 0.00012172377429 -4.94501789119e-08 -9.89003578113e-08 37.19305 -0.00204029923935 1.94795911576 0.1323 ./data/phasediag2/test0141.out 21.0 10854.9441756 
0.714286 3600000.0 -0.00114265561028 0.1333 -0.00211009829444 5 74.3861 0.998566 1.47955531775e-05 1.39999944 0.000303692903808 0.000424822848828 5.27706461211e-06 0.000194340248974 6.37155440094e-07 125 263550 50 10000 411600.00261 0.000127950991941 -4.94501789119e-08 -9.89003578113e-08 37.19305 -0.00211014774462 2.09788901226 0.1333 ./data/phasediag2/test0142.out 21.0 13145.5836993 
0.666667 3600000.0 -0.00123244300789 0.1343 -0.00241122206778 5 74.3861 0.998402 1.81696163754e-05 1.49999925 0.000303692903808 0.000455164813711 5.49139416485e-06 0.000155380322786 4.61476675718e-07 125 247900 50 10000 411600.00261 0.000122629706752 -4.94501789119e-08 -9.89003578113e-08 37.19305 -0.00241127151796 2.24758760348 0.1343 ./data/phasediag2/test0143.out 21.0 7034.44498863 
1.25 3600000.0 -0.186494311111 0.125 -0.334204711111 5 16.0915 0.79247 0.114687169167 0.8 0.0299999426349 0.0183761827922 0.00467871912157 0.00586200675995 0.000808507496824 125 9200 50 10000 4166.67463406 0.00233294612374 -0.000482546193211 -0.00096509120052 8.04575 -0.334687257304 0.865312742696 0.125 ./data/phasediag2/test0144.out 26.0 41313.1379079 
1.11111 3600000.0 -0.168043016667 0.126 -0.298944794444 5 16.0915 0.819636 0.0913747352778 0.900000900001 0.0299999426349 0.0219297418305 0.00247745819612 0.00451134966605 0.000246581546634 125 19850 50 10000 4166.67463406 0.00251185176985 -0.000482546193211 -0.00096509120052 8.04575 -0.299427340638 1.05057400936 0.126 ./data/phasediag2/test0145.out 23.0 36510.9604615 
