# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME
1.25 3600000.0 -0.353702277778 0.123 -0.756773091667 5 13.5721 0.656009 0.609146755556 0.8 0.0499998682921 0.0221807880179 0.0569394426325 0.0507651994641 0.00160216611888 125 10200 50 10000 2500.00658541 0.000436673977129 -0.0013404012286 -0.00268079330674 6.78605 -0.758113492895 0.441886507105 0.123 ./data/phasediag2/test0000.out 
1.11111 3600000.0 -0.286068675 0.124 -0.529234269444 5 13.5721 0.734299 0.285230597222 0.900000900001 0.0499998682921 0.0305624910781 0.0063477468944 0.0100306115424 4.88043852944e-05 125 7750 50 10000 2500.00658541 0.000198511443705 -0.0013404012286 -0.00268079330674 6.78605 -0.530574670673 0.819426679328 0.124 ./data/phasediag2/test0001.out 
1.0 3600000.0 -0.260578494444 0.125 -0.480700086111 5 13.5721 0.7626 0.234995591667 1.0 0.0499998682921 0.0368369385779 0.00392301887944 0.00737875397688 3.36935168621e-05 125 10300 50 10000 2500.00658541 0.000125896162562 -0.0013404012286 -0.00268079330674 6.78605 -0.48204048734 1.01795951266 0.125 ./data/phasediag2/test0002.out 
0.909091 3600000.0 -0.231993719444 0.126 -0.435226311111 5 13.5721 0.786758 0.191957319444 1.09999989 0.0499998682921 0.0432661548923 0.00209535377532 0.00383745528441 7.24051886619e-06 125 7900 50 10000 2500.00658541 8.81816077509e-05 -0.0013404012286 -0.00268079330674 6.78605 -0.43656671234 1.21343312266 0.126 ./data/phasediag2/test0003.out 
0.833333 3600000.0 -0.217404663889 0.127 -0.412887211111 5 13.5721 0.803272 0.172967680556 1.20000048 0.0499998682921 0.0489956220777 0.00173043712707 0.00438800900079 6.57596374695e-06 125 9450 50 10000 2500.00658541 0.000109670704882 -0.0013404012286 -0.00268079330674 6.78605 -0.41422761234 1.38577310766 0.127 ./data/phasediag2/test0004.out 
0.769231 3600000.0 -0.2035089 0.128 -0.398490808333 5 13.5721 0.814582 0.160840122222 1.29999961 0.0499998682921 0.0546903517713 0.00121017699597 0.00373433866567 5.25496651445e-06 125 12150 50 10000 2500.00658541 0.000123246047597 -0.0013404012286 -0.00268079330674 6.78605 -0.399831209562 1.55016820544 0.128 ./data/phasediag2/test0005.out 
0.714286 3600000.0 -0.187253095556 0.129 -0.382029480556 5 13.5721 0.825583 0.147881458333 1.39999944 0.0499998682921 0.0605031181818 0.000987212177415 0.00279007674808 2.93340363322e-06 125 9950 50 10000 2500.00658541 8.83575134699e-05 -0.0013404012286 -0.00268079330674 6.78605 -0.383369881784 1.71662927822 0.129 ./data/phasediag2/test0006.out 
0.666667 3600000.0 -0.175452036111 0.13 -0.362933519444 5 13.5721 0.837062 0.133572459167 1.49999925 0.0499998682921 0.0660931469289 0.000822987325358 0.00259178389391 2.03270817723e-06 125 6800 50 10000 2500.00658541 8.99826652414e-05 -0.0013404012286 -0.00268079330674 6.78605 -0.364273920673 1.88572495433 0.13 ./data/phasediag2/test0007.out 
1.25 3600000.0 -0.652881080556 0.1187 -2.1760499 5 11.0228 0.403338 4.94222454167 0.8 0.0933327861194 0.0128592104718 0.323486522464 0.190205758959 0.0137305571334 125 8450 50 10000 1339.29356657 0.00136154915826 -0.00467048384654 -0.00934085659561 5.5114 -2.18072038385 -0.980720383847 0.1187 ./data/phasediag2/test0008.out 
1.11111 3600000.0 -0.522846052778 0.1197 -1.11112685833 5 11.0228 0.592639 1.27820832222 0.900000900001 0.0933327861194 0.034329104519 0.0538337527182 0.0740921195774 0.000943135646301 125 7300 50 10000 1339.29356657 0.00103782189287 -0.00467048384654 -0.00934085659561 5.5114 -1.11579734218 0.234204007821 0.1197 ./data/phasediag2/test0009.out 
1.0 3600000.0 -0.470797530556 0.1207 -0.928702019444 5 11.0228 0.646189 0.874538030556 1.0 0.0933327861194 0.0485201327237 0.0120505896354 0.0217545836254 0.000160531769126 125 7100 50 10000 1339.29356657 0.000541017976516 -0.00467048384654 -0.00934085659561 5.5114 -0.933372503291 0.566627496709 0.1207 ./data/phasediag2/test0010.out 
0.909091 3600000.0 -0.418131536111 0.1217 -0.816068513889 5 11.0228 0.683521 0.671477133333 1.09999989 0.0933327861194 0.0627688650643 0.00455315295403 0.00828121799228 2.17553837605e-05 125 6250 50 10000 1339.29356657 0.000176029733535 -0.00467048384654 -0.00934085659561 5.5114 -0.820738997735 0.829260837265 0.1217 ./data/phasediag2/test0011.out 
0.833333 3600000.0 -0.381451794444 0.1227 -0.752657808333 5 11.0228 0.709616 0.570686797222 1.20000048 0.0933327861194 0.0755256212265 0.00291181765463 0.00540531888565 9.13424993072e-06 125 6250 50 10000 1339.29356657 0.000153593051095 -0.00467048384654 -0.00934085659561 5.5114 -0.75732829218 1.04267242782 0.1227 ./data/phasediag2/test0012.out 
0.769231 3600000.0 -0.354049066667 0.1237 -0.729099863889 5 11.0228 0.723957 0.535372697222 1.29999961 0.0933327861194 0.0874163915697 0.00224028874028 0.00534147048938 6.0450370688e-06 125 6350 50 10000 1339.29356657 0.000121462463778 -0.00467048384654 -0.00934085659561 5.5114 -0.733770347735 1.21622906726 0.1237 ./data/phasediag2/test0013.out 
0.714286 3600000.0 -0.332564036111 0.1247 -0.709790472222 5 11.0228 0.735541 0.507916555556 1.39999944 0.0933327861194 0.0987549120767 0.00209900223946 0.00589377561312 9.43027124118e-06 125 8350 50 10000 1339.29356657 0.000177682885219 -0.00467048384654 -0.00934085659561 5.5114 -0.714460956069 1.38553820393 0.1247 ./data/phasediag2/test0014.out 
0.666667 3600000.0 -0.31069495 0.1257 -0.691474352778 5 11.0228 0.746234 0.481644897222 1.49999925 0.0933327861194 0.110129275692 0.00155916452484 0.00412778243803 5.84478280587e-06 125 11000 50 10000 1339.29356657 0.000182284425654 -0.00467048384654 -0.00934085659561 5.5114 -0.696144836624 1.55385403838 0.1257 ./data/phasediag2/test0015.out 
1.25 3600000.0 -0.748192044444 0.1143 -2.52041919444 5 9.70694 0.365704 6.4528475 0.8 0.136666784807 0.00434329714599 0.156772787931 0.092658177941 0.00609714800766 125 6100 50 10000 914.633355695 0.000562689143008 -0.0100141353855 -0.0200277600082 4.85347 -2.53043332983 -1.33043332983 0.1143 ./data/phasediag2/test0016.out 
1.11111 3600000.0 -0.720991477778 0.1153 -1.85062763889 5 9.70694 0.474545 3.47564213889 0.900000900001 0.136666784807 0.0217275126182 0.0627399746056 0.0605875615642 0.00111396114941 125 10850 50 10000 914.633355695 0.000334214958857 -0.0100141353855 -0.0200277600082 4.85347 -1.86064177427 -0.510640424273 0.1153 ./data/phasediag2/test0017.out 
1.0 3600000.0 -0.651415638889 0.1163 -1.46065766667 5 9.70694 0.551793 2.16791672222 1.0 0.136666784807 0.0449027742998 0.0343959030301 0.059936772126 0.000502627558661 125 6400 50 10000 914.633355695 0.00058036645322 -0.0100141353855 -0.0200277600082 4.85347 -1.47067180205 0.0293281979479 0.1163 ./data/phasediag2/test0018.out 
0.909091 3600000.0 -0.582701602778 0.1173 -1.19664397222 5 9.70694 0.611998 1.44300405556 1.09999989 0.136666784807 0.0679603641336 0.00912996818945 nan nan 125 5700 50 10000 914.633355695 nan -0.0100141353855 -0.0200277600082 4.85347 -1.20665810761 0.443341727392 0.1173 ./data/phasediag2/test0019.out 
0.833333 3600000.0 -0.529859938889 0.1183 -1.09731698056 5 9.70694 0.641881 1.21030868333 1.20000048 0.136666784807 0.0888488235552 0.0043084184406 0.00498380265999 1.44148530241e-05 125 5850 50 10000 914.633355695 0.000166793679982 -0.0100141353855 -0.0200277600082 4.85347 -1.10733111594 0.692669604059 0.1183 ./data/phasediag2/test0020.out 
0.769231 3600000.0 -0.496625619444 0.1193 -1.05986554444 5 9.70694 0.65859 1.12950903056 1.29999961 0.136666784807 0.10705741072 0.00366512542691 0.0091800067307 1.4840924211e-05 125 6000 50 10000 914.633355695 0.000238801726983 -0.0100141353855 -0.0200277600082 4.85347 -1.06987967983 0.88011973517 0.1193 ./data/phasediag2/test0021.out 
0.714286 3600000.0 -0.461269002778 0.1203 -1.02131898056 5 9.70694 0.674216 1.04935004167 1.39999944 0.136666784807 0.125556141088 0.00319264623964 0.00854151373889 1.46893756641e-05 125 8050 50 10000 914.633355695 0.000118598319344 -0.0100141353855 -0.0200277600082 4.85347 -1.03133311594 1.06866604406 0.1203 ./data/phasediag2/test0022.out 
0.666667 3600000.0 -0.415163627778 0.1213 -0.984867855556 5 9.70694 0.686375 0.974702544444 1.49999925 0.136666784807 0.145523866966 0.00210571390031 0.00476088928901 7.30429569234e-06 125 5700 50 10000 914.633355695 0.000147056275997 -0.0100141353855 -0.0200277600082 4.85347 -0.994881990941 1.25511688406 0.1213 ./data/phasediag2/test0023.out 
1.25 3600000.0 -0.849456122222 0.11 -2.79124969444 5 8.85549 0.344388 7.84614980556 0.8 0.179999882708 -0.0151553609421 0.0860546075302 0.036932723176 0.00227434879865 125 7450 50 10000 694.44489696 0.000584914197242 -0.017370959629 -0.0347403823207 4.427745 -2.80862065407 -1.60862065407 0.11 ./data/phasediag2/test0024.out 
