# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME SIMTIME CORRTIME 
0.5 3600000.0 0.344760777 0.09 -3.03552127778 5 6.29961 0.486998 9.22422752778 2.0 0.499998868853 1.03842886388 0.00245952498404 0.00202037933445 3.88507512196e-05 125 12650 50 10000 250.000565575 0.0125114219769 -0.133994927727 -0.267898350764 3.149805 -3.16951620551 -0.169516205505 0.09 ./data/size_scaling/test0000.out 22.0 1493.67841897 
0.5 3600000.0 0.260266372472 0.09 -3.09209358333 6 7.55953 0.485991 9.56692744444 2.0 0.499999265703 1.05257941356 0.00147117908832 0.0020697580171 3.18166801776e-05 216 21700 50 10000 432.000634434 0.0125318100148 -0.0775610940002 -0.155104453722 3.779765 -3.16965467733 -0.169654677334 0.09 ./data/size_scaling/test0001.out 38.0 2620.6927865 
0.5 3600000.0 0.192045188828 0.09 -3.11924886111 7 8.81945 0.486635 9.73328138889 2.0 0.499999549167 1.04717730181 0.000891982836481 0.00203718844224 1.99736858865e-05 343 39200 50 10000 686.000618544 0.0141927543721 -0.0488465628338 -0.0976886967929 4.409725 -3.16809542394 -0.168095423945 0.09 ./data/size_scaling/test0002.out 59.0 4187.43827967 
0.5 3600000.0 0.1753739354 0.09 -3.12875172222 8 10.0794 0.486543 9.79159961111 2.0 0.499995297229 1.05495406884 0.000628067950648 0.00221497808553 2.31706462839e-05 512 46550 50 10000 1024.00963137 0.0112319483779 -0.0327236421212 -0.065445952712 5.0397 -3.16147536434 -0.161475364343 0.09 ./data/size_scaling/test0003.out 82.0 7030.31435195 
0.5 3600000.0 0.163328621589 0.09 -3.13612608333 9 11.3393 0.486119 9.83707105556 2.0 0.499998604287 1.05867818549 0.000446061247972 0.00218126198103 1.69316373468e-05 729 93600 50 10000 1458.00406991 0.0102893640743 -0.0229834007289 -0.045966340151 5.66965 -3.15910948406 -0.159109484062 0.09 ./data/size_scaling/test0004.out 117.0 9599.83290717 
0.5 3600000.0 0.1399703232 0.09 -3.13803352778 10 12.5992 0.487328 9.84846169444 2.0 0.500001249955 1.05323272871 0.00030181824675 0.00166144216596 1.33411893251e-05 1000 87850 50 10000 1999.99500019 0.0102307998644 -0.0167551552303 -0.0335101317371 6.2996 -3.15478868301 -0.154788683008 0.09 ./data/size_scaling/test0005.out 165.0 8231.28187409 
0.5 3600000.0 0.153296817972 0.09 -3.14201572222 11 13.8591 0.486061 9.87315486111 2.0 0.500003414607 1.06406717922 0.000223015604869 0.00154238880154 9.35294602798e-06 1331 132750 50 10000 2661.98182076 0.0103131102986 -0.0125885343545 -0.0251769929114 6.92955 -3.15460425658 -0.154604256577 0.09 ./data/size_scaling/test0006.out 206.0 9600.52501642 
0.5 3600000.0 0.153943177194 0.09 -3.14120963889 12 15.1191 0.485721 9.86789727778 2.0 0.499995297229 1.0672654937 0.000174820582328 0.00150293259264 8.05932641439e-06 1728 245600 50 10000 3456.03250586 0.0110030386043 -0.00969607390754 -0.0193921131789 7.55955 -3.1509057128 -0.150905712796 0.09 ./data/size_scaling/test0007.out 263.0 11628.6407078 
0.5 3600000.0 0.185649399522 0.09 -3.138621 13 16.379 0.485487 9.85150388889 2.0 0.499997586728 1.08519317067 0.000140526811972 0.00133005457216 7.57135909621e-06 2197 305600 50 10000 4394.02120794 0.0101324964472 -0.00762629975757 -0.0152525826621 8.1895 -3.14624729976 -0.146247299758 0.09 ./data/size_scaling/test0008.out 332.0 11329.7998161 
0.5 3600000.0 0.157813337708 0.09 -3.14123352778 14 17.6389 0.486439 9.86783233333 2.0 0.499999549167 1.07279961304 0.000121064324527 nan nan 2744 281150 50 10000 5488.00494835 0.0137382406554 -0.00610609283382 -0.0122121770175 8.81945 -3.14733962061 -0.147339620612 0.09 ./data/size_scaling/test0009.out 399.0 nan 
0.5 3600000.0 0.327507335806 0.09 -3.03665519444 5 6.29961 0.487342 9.23098225 2.0 0.499998868853 1.0298021628 0.00242687001339 0.00201837537198 3.94052117216e-05 125 8950 50 10000 250.000565575 nan -0.133994927727 -0.267898350764 3.149805 -3.17065012217 -0.170650122172 0.09 ./data/size_scaling/test1000.out 21.0 1510.77528164 
0.5 3600000.0 0.230969643522 0.09 -3.08830577778 6 7.55953 0.486848 9.54344222222 2.0 0.499999265703 1.0379310706 0.00145241129165 0.00227343749856 2.49278644932e-05 216 25350 50 10000 432.000634434 0.0120147076975 -0.0775610940002 -0.155104453722 3.779765 -3.16586687178 -0.165866871778 0.09 ./data/size_scaling/test1001.out 35.0 3202.71969834 
0.5 3600000.0 0.192611650264 0.09 -3.1186335 7 8.81945 0.48693 9.72955936111 2.0 0.499999549167 1.04746053227 0.000921113447216 0.00238361571294 2.60040432996e-05 343 33550 50 10000 686.000618544 0.0135277213463 -0.0488465628338 -0.0976886967929 4.409725 -3.16748006283 -0.167480062834 0.09 ./data/size_scaling/test1002.out 56.0 5551.39162903 
0.5 3600000.0 0.192383629833 0.09 -3.13063080556 8 10.0794 0.485529 9.8032115 2.0 0.499995297229 1.06345883606 0.000590564826643 0.00190987422279 1.70854705194e-05 512 52200 50 10000 1024.00963137 0.0130294374953 -0.0327236421212 -0.065445952712 5.0397 -3.16335444768 -0.163354447677 0.09 ./data/size_scaling/test1003.out 88.0 5558.84374429 
0.5 3600000.0 0.168470795806 0.09 -3.13277105556 9 11.3393 0.486452 9.81596794444 2.0 0.499998604287 1.06124926542 0.000428364479444 0.00192474843559 1.21833532508e-05 729 69750 50 10000 1458.00406991 0.0104371934722 -0.0229834007289 -0.045966340151 5.66965 -3.15575445628 -0.155754456284 0.09 ./data/size_scaling/test1004.out 123.0 7783.53725921 
0.5 3600000.0 0.169979839969 0.09 -3.13524083333 10 12.5992 0.486561 9.830985 2.0 0.500001249955 1.06823752461 0.000312479249827 0.00175239921597 1.21299753988e-05 1000 117000 50 10000 1999.99500019 0.00910189366403 -0.0167551552303 -0.0335101317371 6.2996 -3.15199598856 -0.151995988564 0.09 ./data/size_scaling/test1005.out 176.0 8844.78797374 
0.5 3600000.0 0.16522180825 0.09 -3.14013569444 11 13.8591 0.486088 9.86142411111 2.0 0.500003414607 1.07002971508 0.000242982896754 0.00264919167772 1.23968433484e-05 1331 178650 50 10000 2661.98182076 0.0142059529807 -0.0125885343545 -0.0251769929114 6.92955 -3.1527242288 -0.152724228799 0.09 ./data/size_scaling/test1006.out 196.0 25995.2242531 
0.5 3600000.0 0.165780677917 0.09 -3.14277291667 12 15.1191 0.485946 9.87775055556 2.0 0.499995297229 1.07318418839 0.000182237455511 0.00175696367633 1.02866593922e-05 1728 177350 50 10000 3456.03250586 0.0103495268406 -0.00969607390754 -0.0193921131789 7.55955 -3.15246899057 -0.152468990574 0.09 ./data/size_scaling/test1007.out 251.0 15245.1054376 
0.5 3600000.0 0.155579265333 0.09 -3.14695711111 13 16.379 0.486078 9.90390805556 2.0 0.499997586728 1.07015817614 0.000142249095691 0.00161657958109 9.53373904058e-06 2197 298950 50 10000 4394.02120794 0.0101042284039 -0.00762629975757 -0.0152525826621 8.1895 -3.15458341087 -0.154583410869 0.09 ./data/size_scaling/test1008.out 313.0 16534.3517748 
0.5 3600000.0 0.162295939867 0.09 -3.14529966667 14 17.6389 0.486049 9.89340502778 2.0 0.499999549167 1.0750409121 0.000123758661083 0.00194280422523 8.99076828142e-06 2744 331750 50 10000 5488.00494835 0.0126724509138 -0.00610609283382 -0.0122121770175 8.81945 -3.1514057595 -0.1514057595 0.09 ./data/size_scaling/test1009.out 387.0 27448.9025826 
