# rho*	T* U* P*
	
0.35	2.99 -2.03 1.23
0.35	2.50 -2.10 0.90
0.35	1.97 -2.22 0.56
0.35	1.70 -2.27 0.39
0.35	1.45 -2.37 0.20
0.35	1.20 -2.44 0.02
0.45	2.95 -2.59 1.79
0.45	2.59 -2.68 1.47
0.45	1.97 -2.83 0.86
0.45	1.70 -2.92 0.52
0.45	1.48 -3.00 0.31
0.45	1-20 -3.10 -0.04
0.60	3.06 -3.37 3.63
0.6	2.40 -3.59 2.47
0.60	1.97 -3.76 1.65
0.6	1.73 -3.86 1.19
0.6	1.50 -3.96 0.72
0.6	1.24 -4.09 0.20
0.9	4.75 -2.83 21.48
0.9	3.77 -3.59 17.24
0.9	2.80 -4.34 12.98
0.9	2.21 -4.83 10.21
0.9	1.64 -5.38 7.09
0.90	1.53 -5.46 6.63
0.9	1.19 -5.86 4.45
0.9	1.03 -6.02 3.47
0.9	0.81 -6.28 1.97
0.9	0.60 -6.57 0.31
0.9	0.57 -6.58 0.29
0.9	0.48 -6.75 -0.68
0.95	4.95 -2.51 26.65
0.95	4.69 -2.83 25.51
0.95	3.59 -3.56 20.54
0.95	2.71 -4.39 15.83
0.95	2.21 -4.86 13.02
0.95	1.71 -5.39 9.97
0.95	1.48 -5.63 8.58
0.95	1.20 -5.97 6.64
0.95	1.00 -6.24 5.04
0.95	0.80 -6.51 3.50
0.95	0.61 -6.81 1.77
0.95	0.59 -6.82 1.70
0.95	0.49 -7.01 0.63
1	5.78 -1.57 35.82
1.00	4.85 -2.27 31.57
1.00	3.71 -3.27 25.65
1	2.75 -4.22 20.01
1.00	2.36 -4.65 17.53
1	2.20 -4.78 16.68
1.00	1.73 -5.38 13.22
1	1.27 -5.97 9.70
1	1.04 -6.30 7.79
1	0.81 -6.61 5.92
1	0.74 -6.71 5.36
1	0.61 -6.90 4.23
1.00 0.56 -7.01 3.59	
1.02 1.46 -5.69 12.70	
1.02 1.23 -6.03 10.68	
1.02 0.97 -6.42 8.38	
1.02 0.82 -6.65 6.95	
1.02 0.59 -6.99 4.93	
1.04 4.50 -2.27 34.56	
1.04 1.50 -5.60 14.55	
1.04 1.19 -6.03 11.97	
1.04 0.97 -6.41 9.74	
1.04 0.80 -6.72 7.86	
1.04 0.63 -7.05 5.86	
1.05 4.80 -1.93 37.46	
1.05 3.72 -2.96 31.16	
1.05 2.94 -3.79 26.14	
1.05 2.62 -4.13 24.09	
1.05 2.16 -4.70 21.15	
1.05 1.73 -5.23 17.46	
1.05 1.19 -6.05 12.58	
1.05 1.01 -6.31 10.99	
1.05 0.86 -6.57 9.40	
1.05 0.64 -6.82 7.83	
1.05 0.61 -6.99 6.87	
1.05 0.54 -7.09 6.27	
1.06 4.73 -1.89 38.47	
1.06 1.50 -5.57 16.14	
1.06 1.19 -6.04 13.33	
1.06 1.02 -6.36 11.39	
1.06 0.79 -6.73 9.18	
1.06 0.61 -6.99 7.53	
1.08 4.85 -1.54 42.25	
1.08 4.63 -1.74 40.95	
1.08 1.43 -5.61 17.34	
1.08 1.19 -6.02 14.83	
1.08 1.04 -6.25 13.44	
1-08 0.82 -6.64 11.07	
1.08 0.60 -6.97 8.98	
1.10 4.80 -1.36 45.05	
1.10 3.96 -2.24 39.57	
1.10 3.54 -2.77 36.34	
1.10 2.68 -3.74 30.28	
1.10 2.20 -4.37 26.39	
1.10 1.81 -4.93 22.95	
1.10 1.17 -5.90 16.99	
1.10 1.02 -6.25 14.92	
1.10 0.77 -6.47 13.46	
1.10 0.61 -6.81 11.38	
1.20 6.01 1.50 72.84	
1.20 5.07 0.43 65.84	
1.20 4.11 -0.72 58.33	
1.20 3.00 -2.21 48.64	
1.20 2.05 -3.65 39.28	
1.20 1.03 -5.29 28.45	

